iter 2730: loss 4.4422, time 3816.25ms, mfu 3.56%
iter 2740: loss 4.4698, time 3800.57ms, mfu 3.56%
iter 2750: loss 4.3678, time 3797.53ms, mfu 3.56%
iter 2760: loss 4.3915, time 3799.66ms, mfu 3.57%
iter 2770: loss 4.5522, time 3801.47ms, mfu 3.57%
iter 2780: loss 4.0555, time 3807.03ms, mfu 3.57%
iter 2790: loss 4.0224, time 3789.99ms, mfu 3.57%
Iter 2800: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 2800: loss 4.2620, time 3798.96ms, mfu 3.57%
iter 2810: loss 4.1576, time 3797.52ms, mfu 3.57%
iter 2820: loss 4.1506, time 3815.96ms, mfu 3.57%
iter 2830: loss 4.2011, time 3794.42ms, mfu 3.58%
iter 2840: loss 4.1293, time 3807.33ms, mfu 3.58%
iter 2850: loss 4.3971, time 3808.35ms, mfu 3.58%
iter 2860: loss 4.0118, time 3797.73ms, mfu 3.58%
iter 2870: loss 4.1033, time 3842.32ms, mfu 3.57%
iter 2880: loss 4.4988, time 3795.17ms, mfu 3.58%
iter 2890: loss 4.3371, time 3792.74ms, mfu 3.58%
Iter 2900: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 2900: loss 4.0477, time 3801.98ms, mfu 3.58%
iter 2910: loss 3.9429, time 3798.75ms, mfu 3.58%
iter 2920: loss 4.6195, time 3797.57ms, mfu 3.58%
iter 2930: loss 4.3422, time 3802.38ms, mfu 3.58%
iter 2940: loss 4.2768, time 3802.75ms, mfu 3.58%
iter 2950: loss 4.2769, time 3793.32ms, mfu 3.58%
iter 2960: loss 3.8763, time 3790.09ms, mfu 3.58%
iter 2970: loss 4.0820, time 3803.89ms, mfu 3.58%
iter 2980: loss 4.3289, time 3802.38ms, mfu 3.58%
iter 2990: loss 4.1656, time 3792.75ms, mfu 3.58%
Iter 3000: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
step 3000: train loss 4.2356, val loss 4.2110
saving checkpoint to out-subset-norm
iter 3000: loss 4.3519, time 23542.67ms, mfu 3.28%
iter 3010: loss 3.9549, time 3845.14ms, mfu 3.31%
iter 3020: loss 4.1360, time 3796.02ms, mfu 3.34%
iter 3030: loss 4.1859, time 3791.41ms, mfu 3.36%
iter 3040: loss 3.9601, time 3793.10ms, mfu 3.39%
iter 3050: loss 4.4897, time 3794.01ms, mfu 3.41%
iter 3060: loss 4.1442, time 3817.01ms, mfu 3.42%
iter 3070: loss 3.8813, time 3796.37ms, mfu 3.44%
iter 3080: loss 4.3550, time 3797.58ms, mfu 3.45%
iter 3090: loss 3.9523, time 3792.48ms, mfu 3.47%
Iter 3100: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 3100: loss 4.3299, time 3796.02ms, mfu 3.48%
iter 3110: loss 3.8583, time 3806.30ms, mfu 3.49%
iter 3120: loss 3.9808, time 3799.82ms, mfu 3.50%
iter 3130: loss 4.0716, time 3792.81ms, mfu 3.51%
iter 3140: loss 4.2686, time 3803.41ms, mfu 3.52%
iter 3150: loss 4.1503, time 3793.70ms, mfu 3.52%
